codigo_barras,descripcion,contenido,cumulative_sum,cumulative_perc
7730400003300,"AGUA SABORIZADA SALUS FRUTTE NARANJA 2,25L",45101250,45101250,10.375477192584109
7730400003920,"AGUA SABORIZADA SALUS FRUTTE NARANJA 1,65L",34232550,79333800,18.250625703301555
7730400001247,"AGUA SABORIZADA SALUS FRUTTE CERO NARANJA 2,25L",33648750,112982550,25.991471870180842
7730400003980,"AGUA SABORIZADA SALUS FRUTTE MANZANA 2,25L",31340250,144322800,33.20125095800843
7730400003556,"AGUA SABORIZADA SALUS FRUTTE POMELO 2,25L",30291750,174614550,40.16982414053574
7730400001707,"AGUA SABORIZADA SALUS FRUTTE CERO ANANA 1,65L",29442600,204057150,46.943051596324146
7730400003432,"AGUA SABORIZADA SALUS FRUTTE MARACUYA 1,65L",24609750,228666900,52.60448891436293
7730400003480,"AGUA SABORIZADA SALUS FRUTTE POMELO 1,65L",23507550,252174450,58.012366719934406
7730400001161,"AGUA SABORIZADA SALUS FRUTTE CERO POMELO 2,25L",21183750,273358200,62.88565770363006
7730400001835,"AGUA SABORIZADA SALUS FRUTTE CERO POMELO 1,65L",20474850,293833050,67.59586726980795
7730400003002,"AGUA SABORIZADA SALUS FRUTTE DURAZNO 1,65L",16399350,310232400,71.36851396803038
7730400001518,"AGUA SABORIZADA SALUS FRUTTE CERO NARANJA 1,65L",15594150,325826550,74.95592557331263
7734284001766,"AGUA SABORIZADA H2OH! LIMONETO 1,5L",13728000,339554550,78.11403207589946
7734284001157,"AGUA SABORIZADA H2OH! NARANCHELO 1,5L",13551000,353105550,81.23141998503074
